italy-prov
Provinces of Italy
I;IS
04012;Latina (LT)
04013;Latina (LT)
04014;Latina (LT)
04015;Latina (LT)
04016;Latina (LT)
04017;Latina (LT)
04018;Latina (LT)
04019;Latina (LT)
04020;Latina (LT)
04021;Latina (LT)
04022;Latina (LT)
04023;Latina (LT)
04024;Latina (LT)
04025;Latina (LT)
04026;Latina (LT)
04027;Latina (LT)
04029;Latina (LT)
04100;Latina (LT)
05010;Terni (TR)
05011;Terni (TR)
05012;Terni (TR)
05013;Terni (TR)
05014;Terni (TR)
05015;Terni (TR)
05016;Terni (TR)
05017;Terni (TR)
05018;Terni (TR)
05020;Terni (TR)
05021;Terni (TR)
05022;Terni (TR)
05023;Terni (TR)
05024;Terni (TR)
05025;Terni (TR)
05026;Terni (TR)
05028;Terni (TR)
05029;Terni (TR)
05030;Terni (TR)
05031;Terni (TR)
05032;Terni (TR)
05034;Terni (TR)
05035;Terni (TR)
05039;Terni (TR)
05100;Terni (TR)
06010;Perugia (PG)
06012;Perugia (PG)
06014;Perugia (PG)
06016;Perugia (PG)
06019;Perugia (PG)
06021;Perugia (PG)
06022;Perugia (PG)
06023;Perugia (PG)
06024;Perugia (PG)
06025;Perugia (PG)
06026;Perugia (PG)
06027;Perugia (PG)
06028;Perugia (PG)
06029;Perugia (PG)
06030;Perugia (PG)
06031;Perugia (PG)
06033;Perugia (PG)
06034;Perugia (PG)
06035;Perugia (PG)
06036;Perugia (PG)
06038;Perugia (PG)
06039;Perugia (PG)
06040;Perugia (PG)
06041;Perugia (PG)
06042;Perugia (PG)
06043;Perugia (PG)
06044;Perugia (PG)
06045;Perugia (PG)
06046;Perugia (PG)
06047;Perugia (PG)
06049;Perugia (PG)
06050;Perugia (PG)
06053;Perugia (PG)
06054;Perugia (PG)
06055;Perugia (PG)
06056;Perugia (PG)
06057;Perugia (PG)
06059;Perugia (PG)
06060;Perugia (PG)
06061;Perugia (PG)
06062;Perugia (PG)
06063;Perugia (PG)
06064;Perugia (PG)
06065;Perugia (PG)
06066;Perugia (PG)
06069;Perugia (PG)
06073;Perugia (PG)
06081;Perugia (PG)
06083;Perugia (PG)
06084;Perugia (PG)
06089;Perugia (PG)
06121;Perugia (PG)
06122;Perugia (PG)
06123;Perugia (PG)
06124;Perugia (PG)
06125;Perugia (PG)
06126;Perugia (PG)
06127;Perugia (PG)
06128;Perugia (PG)
06129;Perugia (PG)
06130;Perugia (PG)
06131;Perugia (PG)
06132;Perugia (PG)
06133;Perugia (PG)
06134;Perugia (PG)
06135;Perugia (PG)
07010;Sassari (SS)
07010;Sassari (SS)
07011;Sassari (SS)
07012;Sassari (SS)
07013;Sassari (SS)
07014;Sassari (SS)
07015;Sassari (SS)
07016;Sassari (SS)
07017;Sassari (SS)
07018;Sassari (SS)
07019;Sassari (SS)
07020;Sassari (SS)
07020;Sassari (SS)
07021;Sassari (SS)
07022;Sassari (SS)
07023;Sassari (SS)
07024;Sassari (SS)
07025;Sassari (SS)
07026;Sassari (SS)
07027;Sassari (SS)
07028;Sassari (SS)
07029;Sassari (SS)
07030;Sassari (SS)
07030;Sassari (SS)
07031;Sassari (SS)
07032;Sassari (SS)
07033;Sassari (SS)
07034;Sassari (SS)
07035;Sassari (SS)
07036;Sassari (SS)
07037;Sassari (SS)
07038;Sassari (SS)
07039;Sassari (SS)
07040;Sassari (SS)
07040;Sassari (SS)
07041;Sassari (SS)
07043;Sassari (SS)
07044;Sassari (SS)
07045;Sassari (SS)
07046;Sassari (SS)
07047;Sassari (SS)
07048;Sassari (SS)
07049;Sassari (SS)
07100;Sassari (SS)
08010;Oristano (OR)
08010;Nuoro (NU)
08010;Oristano (OR)
08011;Nuoro (NU)
08012;Nuoro (NU)
08013;Oristano (OR)
08015;Nuoro (NU)
08016;Nuoro (NU)
08017;Nuoro (NU)
08018;Nuoro (NU)
08019;Oristano (OR)
08020;Nuoro (NU)
08020;Nuoro (NU)
08021;Nuoro (NU)
08022;Nuoro (NU)
08023;Nuoro (NU)
08024;Nuoro (NU)
08025;Nuoro (NU)
08026;Nuoro (NU)
08027;Nuoro (NU)
08028;Nuoro (NU)
08029;Nuoro (NU)
08030;Oristano (OR)
08030;Cagliari (CA)
08030;Nuoro (NU)
08031;Nuoro (NU)
08032;Nuoro (NU)
08033;Cagliari (CA)
08034;Oristano (OR)
08035;Cagliari (CA)
08036;Nuoro (NU)
08037;Nuoro (NU)
08038;Nuoro (NU)
08039;Nuoro (NU)
08040;Nuoro (NU)
08040;Nuoro (NU)
08042;Nuoro (NU)
08043;Cagliari (CA)
08044;Nuoro (NU)
08045;Nuoro (NU)
08046;Nuoro (NU)
08047;Nuoro (NU)
08048;Nuoro (NU)
08049;Nuoro (NU)
08100;Nuoro (NU)
09010;Cagliari (CA)
09011;Cagliari (CA)
09012;Cagliari (CA)
09013;Cagliari (CA)
09014;Cagliari (CA)
09015;Cagliari (CA)
09016;Cagliari (CA)
09017;Cagliari (CA)
09018;Cagliari (CA)
09019;Cagliari (CA)
09020;Cagliari (CA)
09021;Cagliari (CA)
09022;Cagliari (CA)
09023;Cagliari (CA)
09024;Cagliari (CA)
09025;Cagliari (CA)
09026;Cagliari (CA)
09027;Cagliari (CA)
09028;Cagliari (CA)
09029;Cagliari (CA)
09030;Cagliari (CA)
09031;Cagliari (CA)
09032;Cagliari (CA)
09033;Cagliari (CA)
09034;Cagliari (CA)
09035;Cagliari (CA)
09036;Cagliari (CA)
09037;Cagliari (CA)
09038;Cagliari (CA)
09039;Cagliari (CA)
09040;Cagliari (CA)
09041;Cagliari (CA)
09042;Cagliari (CA)
09043;Cagliari (CA)
09044;Cagliari (CA)
09045;Cagliari (CA)
09047;Cagliari (CA)
09048;Cagliari (CA)
09049;Cagliari (CA)
09070;Oristano (OR)
09070;Oristano (OR)
09071;Oristano (OR)
09072;Oristano (OR)
09073;Oristano (OR)
09074;Oristano (OR)
09075;Oristano (OR)
09076;Oristano (OR)
09077;Oristano (OR)
09078;Oristano (OR)
09079;Oristano (OR)
09080;Oristano (OR)
09080;Oristano (OR)
09081;Oristano (OR)
09082;Oristano (OR)
09083;Oristano (OR)
09084;Oristano (OR)
09085;Oristano (OR)
09086;Oristano (OR)
09088;Oristano (OR)
09090;Oristano (OR)
09090;Oristano (OR)
09091;Oristano (OR)
09092;Oristano (OR)
09093;Oristano (OR)
09093;Oristano (OR)
09094;Oristano (OR)
09095;Oristano (OR)
09096;Oristano (OR)
09097;Oristano (OR)
09098;Oristano (OR)
09099;Oristano (OR)
09121;Cagliari (CA)
09122;Cagliari (CA)
09123;Cagliari (CA)
09124;Cagliari (CA)
09125;Cagliari (CA)
09126;Cagliari (CA)
09127;Cagliari (CA)
09128;Cagliari (CA)
09129;Cagliari (CA)
09130;Cagliari (CA)
09131;Cagliari (CA)
09132;Cagliari (CA)
09133;Cagliari (CA)
09134;Cagliari (CA)
09170;Oristano (OR)
10010;Torino (TO)
10011;Torino (TO)
10012;Torino (TO)
10013;Torino (TO)
10014;Torino (TO)
10015;Torino (TO)
10016;Torino (TO)
10017;Torino (TO)
10018;Torino (TO)
10019;Torino (TO)
10020;Torino (TO)
10022;Torino (TO)
10023;Torino (TO)
10024;Torino (TO)
10025;Torino (TO)
10026;Torino (TO)
10028;Torino (TO)
10029;Torino (TO)
10030;Torino (TO)
10031;Torino (TO)
10032;Torino (TO)
10034;Torino (TO)
10035;Torino (TO)
10036;Torino (TO)
10037;Torino (TO)
10038;Torino (TO)
10040;Torino (TO)
10041;Torino (TO)
10042;Torino (TO)
10043;Torino (TO)
10044;Torino (TO)
10045;Torino (TO)
10046;Torino (TO)
10048;Torino (TO)
10050;Torino (TO)
10051;Torino (TO)
10052;Torino (TO)
10053;Torino (TO)
10054;Torino (TO)
10055;Torino (TO)
10056;Torino (TO)
10057;Torino (TO)
10058;Torino (TO)
10059;Torino (TO)
10060;Torino (TO)
10061;Torino (TO)
10062;Torino (TO)
10063;Torino (TO)
10064;Torino (TO)
10065;Torino (TO)
10066;Torino (TO)
10067;Torino (TO)
10068;Torino (TO)
10069;Torino (TO)
10070;Torino (TO)
10071;Torino (TO)
10072;Torino (TO)
10073;Torino (TO)
10074;Torino (TO)
10075;Torino (TO)
10076;Torino (TO)
10077;Torino (TO)
10078;Torino (TO)
10080;Torino (TO)
10081;Torino (TO)
10082;Torino (TO)
10083;Torino (TO)
10084;Torino (TO)
10085;Torino (TO)
10086;Torino (TO)
10087;Torino (TO)
10088;Torino (TO)
10090;Torino (TO)
10091;Torino (TO)
10092;Torino (TO)
10093;Torino (TO)
10094;Torino (TO)
10095;Torino (TO)
10098;Torino (TO)
10099;Torino (TO)
10121;Torino (TO)
10122;Torino (TO)
10123;Torino (TO)
10124;Torino (TO)
10125;Torino (TO)
10126;Torino (TO)
10127;Torino (TO)
10128;Torino (TO)
10129;Torino (TO)
10130;Torino (TO)
10131;Torino (TO)
10132;Torino (TO)
10133;Torino (TO)
10134;Torino (TO)
10135;Torino (TO)
10136;Torino (TO)
10137;Torino (TO)
10138;Torino (TO)
10139;Torino (TO)
10140;Torino (TO)
10141;Torino (TO)
10142;Torino (TO)
10143;Torino (TO)
10144;Torino (TO)
10145;Torino (TO)
10146;Torino (TO)
10147;Torino (TO)
10148;Torino (TO)
10149;Torino (TO)
10150;Torino (TO)
10151;Torino (TO)
10152;Torino (TO)
10153;Torino (TO)
10154;Torino (TO)
10155;Torino (TO)
10156;Torino (TO)
11100;Aosta (AO)
12010;Cuneo (CN)
12011;Cuneo (CN)
12012;Cuneo (CN)
12013;Cuneo (CN)
12014;Cuneo (CN)
12015;Cuneo (CN)
12016;Cuneo (CN)
12017;Cuneo (CN)
12018;Cuneo (CN)
12019;Cuneo (CN)
12020;Cuneo (CN)
12021;Cuneo (CN)
12022;Cuneo (CN)
12023;Cuneo (CN)
12024;Cuneo (CN)
12025;Cuneo (CN)
12026;Cuneo (CN)
12027;Cuneo (CN)
12028;Cuneo (CN)
12029;Cuneo (CN)
12030;Cuneo (CN)
12031;Cuneo (CN)
12032;Cuneo (CN)
12033;Cuneo (CN)
12034;Cuneo (CN)
12035;Cuneo (CN)
12036;Cuneo (CN)
12037;Cuneo (CN)
12038;Cuneo (CN)
12039;Cuneo (CN)
12040;Cuneo (CN)
12041;Cuneo (CN)
12042;Cuneo (CN)
12043;Cuneo (CN)
12044;Cuneo (CN)
12045;Cuneo (CN)
12046;Cuneo (CN)
12047;Cuneo (CN)
12048;Cuneo (CN)
12049;Cuneo (CN)
12050;Cuneo (CN)
12051;Cuneo (CN)
12052;Cuneo (CN)
12053;Cuneo (CN)
12054;Cuneo (CN)
12055;Cuneo (CN)
12056;Cuneo (CN)
12058;Cuneo (CN)
12060;Cuneo (CN)
12061;Cuneo (CN)
12062;Cuneo (CN)
12063;Cuneo (CN)
12064;Cuneo (CN)
12065;Cuneo (CN)
12066;Cuneo (CN)
12068;Cuneo (CN)
12069;Cuneo (CN)
12070;Cuneo (CN)
12071;Cuneo (CN)
12071;Savona (SV)
12072;Cuneo (CN)
12073;Cuneo (CN)
12074;Cuneo (CN)
12075;Cuneo (CN)
12076;Cuneo (CN)
12077;Cuneo (CN)
12078;Cuneo (CN)
12079;Cuneo (CN)
12080;Cuneo (CN)
12081;Cuneo (CN)
12082;Cuneo (CN)
12083;Cuneo (CN)
12084;Cuneo (CN)
12087;Cuneo (CN)
12088;Cuneo (CN)
12089;Cuneo (CN)
12100;Cuneo (CN)
13010;Vercelli (VC)
13011;Vercelli (VC)
13012;Vercelli (VC)
13017;Vercelli (VC)
13018;Vercelli (VC)
13019;Vercelli (VC)
13020;Vercelli (VC)
13021;Vercelli (VC)
13022;Vercelli (VC)
13023;Vercelli (VC)
13024;Vercelli (VC)
13025;Vercelli (VC)
13026;Vercelli (VC)
13027;Vercelli (VC)
13028;Vercelli (VC)
13030;Vercelli (VC)
13031;Vercelli (VC)
13032;Vercelli (VC)
13033;Vercelli (VC)
13034;Vercelli (VC)
13035;Vercelli (VC)
13036;Vercelli (VC)
13037;Vercelli (VC)
13038;Vercelli (VC)
13039;Vercelli (VC)
13040;Vercelli (VC)
13041;Vercelli (VC)
13043;Vercelli (VC)
13044;Vercelli (VC)
13045;Vercelli (VC)
13046;Vercelli (VC)
13047;Vercelli (VC)
13048;Vercelli (VC)
13049;Vercelli (VC)
13060;Vercelli (VC)
13100;Vercelli (VC)
13811;Biella (BI)
13812;Biella (BI)
13814;Biella (BI)
13815;Biella (BI)
13816;Biella (BI)
13817;Biella (BI)
13818;Biella (BI)
13821;Biella (BI)
13822;Biella (BI)
13823;Biella (BI)
13824;Biella (BI)
13825;Biella (BI)
13831;Biella (BI)
13833;Biella (BI)
13834;Biella (BI)
13835;Biella (BI)
13836;Biella (BI)
13841;Biella (BI)
13843;Biella (BI)
13844;Biella (BI)
13845;Biella (BI)
13847;Biella (BI)
13848;Biella (BI)
13851;Biella (BI)
13852;Biella (BI)
13853;Biella (BI)
13854;Biella (BI)
13855;Biella (BI)
13856;Biella (BI)
13861;Biella (BI)
13862;Biella (BI)
13863;Biella (BI)
13864;Biella (BI)
13865;Biella (BI)
13866;Biella (BI)
13867;Biella (BI)
13868;Biella (BI)
13871;Biella (BI)
13872;Biella (BI)
13873;Biella (BI)
13874;Biella (BI)
13875;Biella (BI)
13876;Biella (BI)
13877;Biella (BI)
13878;Biella (BI)
13881;Biella (BI)
13882;Biella (BI)
13883;Biella (BI)
13884;Biella (BI)
13885;Biella (BI)
13886;Biella (BI)
13887;Biella (BI)
13888;Biella (BI)
13891;Biella (BI)
13893;Biella (BI)
13894;Biella (BI)
13895;Biella (BI)
13896;Biella (BI)
13897;Biella (BI)
13898;Biella (BI)
13899;Biella (BI)
13900;Biella (BI)
14010;Asti (AT)
14011;Asti (AT)
14012;Asti (AT)
14013;Asti (AT)
14014;Asti (AT)
14015;Asti (AT)
14016;Asti (AT)
14017;Asti (AT)
14018;Asti (AT)
14019;Asti (AT)
14020;Asti (AT)
14021;Asti (AT)
14022;Asti (AT)
14023;Asti (AT)
14024;Asti (AT)
14025;Asti (AT)
14026;Asti (AT)
14030;Asti (AT)
14031;Asti (AT)
14032;Asti (AT)
14033;Asti (AT)
14034;Asti (AT)
14035;Asti (AT)
14036;Asti (AT)
14037;Asti (AT)
14039;Asti (AT)
14040;Asti (AT)
14041;Asti (AT)
14042;Asti (AT)
14043;Asti (AT)
14044;Asti (AT)
14045;Asti (AT)
14046;Asti (AT)
14047;Asti (AT)
14048;Asti (AT)
14049;Asti (AT)
14050;Asti (AT)
14051;Asti (AT)
14052;Asti (AT)
14053;Asti (AT)
14054;Asti (AT)
14055;Asti (AT)
14057;Asti (AT)
14058;Asti (AT)
14059;Asti (AT)
14100;Asti (AT)
15010;Alessandria (AL)
15011;Alessandria (AL)
15012;Alessandria (AL)
15013;Alessandria (AL)
15015;Alessandria (AL)
15016;Alessandria (AL)
15017;Alessandria (AL)
15018;Alessandria (AL)
15019;Alessandria (AL)
15020;Alessandria (AL)
15021;Alessandria (AL)
15022;Alessandria (AL)
15023;Alessandria (AL)
15024;Alessandria (AL)
15025;Alessandria (AL)
15026;Alessandria (AL)
15027;Alessandria (AL)
15028;Alessandria (AL)
15029;Alessandria (AL)
15030;Alessandria (AL)
15031;Alessandria (AL)
15032;Alessandria (AL)
15033;Alessandria (AL)
15034;Alessandria (AL)
15035;Alessandria (AL)
15036;Alessandria (AL)
15038;Alessandria (AL)
15039;Alessandria (AL)
15040;Alessandria (AL)
15041;Alessandria (AL)
15042;Alessandria (AL)
15043;Alessandria (AL)
15044;Alessandria (AL)
15045;Alessandria (AL)
15046;Alessandria (AL)
15048;Alessandria (AL)
15049;Alessandria (AL)
15050;Alessandria (AL)
15051;Alessandria (AL)
15052;Alessandria (AL)
15053;Alessandria (AL)
15054;Alessandria (AL)
15055;Alessandria (AL)
15056;Alessandria (AL)
15057;Alessandria (AL)
15058;Alessandria (AL)
15059;Alessandria (AL)
15060;Alessandria (AL)
15061;Alessandria (AL)
15062;Alessandria (AL)
15063;Alessandria (AL)
15064;Alessandria (AL)
15065;Alessandria (AL)
15066;Alessandria (AL)
15067;Alessandria (AL)
15068;Alessandria (AL)
15069;Alessandria (AL)
15070;Alessandria (AL)
15071;Alessandria (AL)
15072;Alessandria (AL)
15073;Alessandria (AL)
15074;Alessandria (AL)
15075;Alessandria (AL)
15076;Alessandria (AL)
15077;Alessandria (AL)
15078;Alessandria (AL)
15079;Alessandria (AL)
15100;Alessandria (AL)
16010;Genova (GE)
16011;Genova (GE)
16012;Genova (GE)
16013;Genova (GE)
16014;Genova (GE)
16015;Genova (GE)
16016;Genova (GE)
16017;Genova (GE)
16018;Genova (GE)
16019;Genova (GE)
16020;Genova (GE)
16021;Genova (GE)
16022;Genova (GE)
16023;Genova (GE)
16024;Genova (GE)
16025;Genova (GE)
16026;Genova (GE)
16027;Genova (GE)
16028;Genova (GE)
16029;Genova (GE)
16030;Genova (GE)
16031;Genova (GE)
16032;Genova (GE)
16033;Genova (GE)
16034;Genova (GE)
16035;Genova (GE)
16036;Genova (GE)
16038;Genova (GE)
16039;Genova (GE)
16040;Genova (GE)
16041;Genova (GE)
16042;Genova (GE)
16043;Genova (GE)
16044;Genova (GE)
16045;Genova (GE)
16046;Genova (GE)
16047;Genova (GE)
16048;Genova (GE)
16049;Genova (GE)
16121;Genova (GE)
16122;Genova (GE)
16123;Genova (GE)
16124;Genova (GE)
16125;Genova (GE)
16126;Genova (GE)
16127;Genova (GE)
16128;Genova (GE)
16129;Genova (GE)
16130;Genova (GE)
16131;Genova (GE)
16132;Genova (GE)
16133;Genova (GE)
16134;Genova (GE)
16135;Genova (GE)
16136;Genova (GE)
16137;Genova (GE)
16138;Genova (GE)
16139;Genova (GE)
16140;Genova (GE)
16141;Genova (GE)
16142;Genova (GE)
16143;Genova (GE)
16144;Genova (GE)
16145;Genova (GE)
16146;Genova (GE)
16147;Genova (GE)
16148;Genova (GE)
16149;Genova (GE)
16150;Genova (GE)
16151;Genova (GE)
16152;Genova (GE)
16153;Genova (GE)
16154;Genova (GE)
16155;Genova (GE)
16156;Genova (GE)
16157;Genova (GE)
16158;Genova (GE)
16159;Genova (GE)
16160;Genova (GE)
16161;Genova (GE)
16162;Genova (GE)
16163;Genova (GE)
16164;Genova (GE)
16165;Genova (GE)
16166;Genova (GE)
16167;Genova (GE)
17010;Savona (SV)
17011;Savona (SV)
17012;Savona (SV)
17013;Savona (SV)
17014;Savona (SV)
17015;Savona (SV)
17017;Savona (SV)
17019;Savona (SV)
17020;Savona (SV)
17021;Savona (SV)
17022;Savona (SV)
17023;Savona (SV)
17024;Savona (SV)
17025;Savona (SV)
17026;Savona (SV)
17027;Savona (SV)
17028;Savona (SV)
17030;Savona (SV)
17031;Savona (SV)
17032;Savona (SV)
17033;Savona (SV)
17034;Savona (SV)
17035;Savona (SV)
17037;Savona (SV)
17038;Savona (SV)
17039;Savona (SV)
17040;Savona (SV)
17041;Savona (SV)
17042;Savona (SV)
17043;Savona (SV)
17044;Savona (SV)
17045;Savona (SV)
17046;Savona (SV)
17047;Savona (SV)
17048;Savona (SV)
17051;Savona (SV)
17052;Savona (SV)
17053;Savona (SV)
17054;Savona (SV)
17055;Savona (SV)
17056;Savona (SV)
17057;Savona (SV)
17058;Savona (SV)
17100;Savona (SV)
18010;Imperia (IM)
18011;Imperia (IM)
18012;Imperia (IM)
18013;Imperia (IM)
18014;Imperia (IM)
18015;Imperia (IM)
18016;Imperia (IM)
18017;Imperia (IM)
18018;Imperia (IM)
18019;Imperia (IM)
18020;Imperia (IM)
18021;Imperia (IM)
18022;Imperia (IM)
18023;Imperia (IM)
18024;Imperia (IM)
18025;Cuneo (CN)
18025;Imperia (IM)
18026;Imperia (IM)
18027;Imperia (IM)
18030;Imperia (IM)
18031;Imperia (IM)
18032;Imperia (IM)
18033;Imperia (IM)
18034;Imperia (IM)
18035;Imperia (IM)
18036;Imperia (IM)
18037;Imperia (IM)
18038;Imperia (IM)
18039;Imperia (IM)
18100;Imperia (IM)
19010;La Spezia (SP)
19011;La Spezia (SP)
19012;La Spezia (SP)
19013;La Spezia (SP)
19014;La Spezia (SP)
19015;La Spezia (SP)
19016;La Spezia (SP)
19017;La Spezia (SP)
19018;La Spezia (SP)
19020;La Spezia (SP)
19021;La Spezia (SP)
19025;La Spezia (SP)
19028;La Spezia (SP)
19031;La Spezia (SP)
19032;La Spezia (SP)
19033;La Spezia (SP)
19034;La Spezia (SP)
19037;La Spezia (SP)
19038;La Spezia (SP)
19121;La Spezia (SP)
19122;La Spezia (SP)
19123;La Spezia (SP)
19124;La Spezia (SP)
19125;La Spezia (SP)
19126;La Spezia (SP)
19127;La Spezia (SP)
19128;La Spezia (SP)
19129;La Spezia (SP)
19130;La Spezia (SP)
19131;La Spezia (SP)
19132;La Spezia (SP)
19133;La Spezia (SP)
19134;La Spezia (SP)
19135;La Spezia (SP)
19136;La Spezia (SP)
20010;Milano (MI)
20011;Milano (MI)
20012;Milano (MI)
20013;Milano (MI)
20014;Milano (MI)
20015;Milano (MI)
20016;Milano (MI)
20017;Milano (MI)
20018;Milano (MI)
20019;Milano (MI)
20020;Milano (MI)
20021;Milano (MI)
20022;Milano (MI)
20023;Milano (MI)
20024;Milano (MI)
20025;Milano (MI)
20026;Milano (MI)
20027;Milano (MI)
20028;Milano (MI)
20029;Milano (MI)
20030;Milano (MI)
20031;Milano (MI)
20032;Milano (MI)
20033;Milano (MI)
20034;Milano (MI)
20035;Milano (MI)
20036;Milano (MI)
20037;Milano (MI)
20038;Milano (MI)
20039;Milano (MI)
20040;Milano (MI)
20041;Milano (MI)
20042;Milano (MI)
20043;Milano (MI)
20044;Milano (MI)
20045;Milano (MI)
20046;Milano (MI)
20047;Milano (MI)
20048;Milano (MI)
20049;Milano (MI)
20050;Milano (MI)
20051;Milano (MI)
20052;Milano (MI)
20053;Milano (MI)
20054;Milano (MI)
20055;Milano (MI)
20056;Milano (MI)
20057;Milano (MI)
20058;Milano (MI)
20059;Milano (MI)
20060;Milano (MI)
20061;Milano (MI)
20062;Milano (MI)
20063;Milano (MI)
20064;Milano (MI)
20065;Milano (MI)
